time_index,sea_height
201008318 ,77
201008319 ,93
2010083110,101
2010083111,107
2010083112,107
2010083113,105
2010083114,98
2010083115,90
2010083116,90
2010083117,80
2010083118,80
2010083119,85
2010083120,85
2010083121,98
2010083122,106
2010083123,110
201009010 ,110
201009011 ,106
201009012 ,98
201009013 ,88
201009014 ,88
201009015 ,76
201009016 ,74
201009017 ,78
201009018 ,78
201009019 ,92
2010090110,101
2010090111,108
2010090112,108
2010090113,110
2010090114,106
2010090115,99
2010090116,99
2010090117,87
2010090118,85
2010090119,87
2010090120,87
2010090121,96
2010090122,103
2010090123,109
201009020 ,109
201009021 ,109
201009022 ,104
201009023 ,96
201009024 ,96
201009025 ,83
201009026 ,79
201009027 ,80
201009028 ,80
201009029 ,89
2010090210,97
2010090211,104
2010090212,104
2010090213,111
2010090214,109
2010090215,105
2010090216,105
2010090217,93
2010090218,89
2010090219,87
2010090220,87
2010090221,90
2010090222,95
2010090223,100
201009030 ,100
201009031 ,103
201009032 ,101
201009033 ,96
201009034 ,96
201009035 ,84
201009036 ,78
201009037 ,75
201009038 ,75
201009039 ,79
2010090310,84
2010090311,91
2010090312,91
2010090313,100
2010090314,102
2010090315,101
2010090316,101
2010090317,93
2010090318,88
2010090319,84
2010090320,84
2010090321,82
2010090322,84
2010090323,88
201009040 ,88
201009041 ,93
201009042 ,94
201009043 ,92
201009044 ,92
201009045 ,83
201009046 ,77
201009047 ,72
201009048 ,72
201009049 ,69
2010090410,71
2010090411,76
2010090412,76
2010090413,85
2010090414,90
2010090415,93
2010090416,93
2010090417,92
2010090418,89
2010090419,85
2010090420,85
2010090421,81
2010090422,81
2010090423,84
201009050 ,84
201009051 ,92
201009052 ,97
201009053 ,101
201009054 ,101
201009055 ,103
201009056 ,101
201009057 ,99
201009058 ,99
201009059 ,95
2010090510,95
2010090511,97
2010090512,97
2010090513,107
2010090514,113
2010090515,120
2010090516,120
2010090517,125
2010090518,124
2010090519,120
2010090520,120
2010090521,109
2010090522,104
2010090523,101
201009060 ,101
201009061 ,102
201009062 ,106
201009063 ,110
201009064 ,110
201009065 ,115
201009066 ,115
201009067 ,112
201009068 ,112
201009069 ,104
2010090610,99
2010090611,97
2010090612,97
2010090613,100
2010090614,106
2010090615,113
2010090616,113
2010090617,123
2010090618,124
2010090619,122
2010090620,122
2010090621,111
2010090622,103
2010090623,96
201009070 ,96
201009071 ,92
201009072 ,94
201009073 ,100
201009074 ,100
201009075 ,111
201009076 ,115
201009077 ,114
201009078 ,114
201009079 ,105
2010090710,97
2010090711,90
2010090712,90
2010090713,87
2010090714,91
2010090715,99
2010090716,99
2010090717,115
2010090718,121
2010090719,123
2010090720,123
2010090721,115
2010090722,105
2010090723,94
201009080 ,94
201009081 ,84
201009082 ,85
201009083 ,90
201009084 ,90
201009085 ,107
201009086 ,115
201009087 ,121
201009088 ,121
201009089 ,117
2010090810,110
2010090811,100
2010090812,100
2010090813,89
2010090814,90
2010090815,95
2010090816,95
2010090817,113
2010090818,122
2010090819,128
2010090820,128
2010090821,125
2010090822,114
2010090823,101
201009090 ,101
201009091 ,82
201009092 ,78
201009093 ,80
201009094 ,80
201009095 ,95
201009096 ,105
201009097 ,113
201009098 ,113
201009099 ,116
2010090910,109
2010090911,99
2010090912,99
2010090913,82
2010090914,79
2010090915,82
2010090916,82
2010090917,100
2010090918,113
2010090919,124
2010090920,124
2010090921,129
2010090922,122
2010090923,109
201009100 ,109
201009101 ,84
201009102 ,76
201009103 ,74
201009104 ,74
201009105 ,87
201009106 ,98
201009107 ,109
201009108 ,109
201009109 ,118
2010091010,115
2010091011,105
2010091012,105
2010091013,84
2010091014,76
2010091015,75
2010091016,75
2010091017,88
2010091018,101
2010091019,113
2010091020,113
2010091021,124
2010091022,121
2010091023,110
201009110 ,110
201009111 ,84
201009112 ,72
201009113 ,66
201009114 ,66
201009115 ,74
201009116 ,85
201009117 ,98
201009118 ,98
201009119 ,113
2010091110,114
2010091111,108
2010091112,108
2010091113,86
2010091114,75
2010091115,69
2010091116,69
2010091117,77
2010091118,88
2010091119,102
2010091120,102
2010091121,120
2010091122,121
2010091123,115
201009120 ,115
201009121 ,90
201009122 ,75
201009123 ,65
201009124 ,65
201009125 ,66
201009126 ,76
201009127 ,89
201009128 ,89
201009129 ,111
2010091210,116
2010091211,114
2010091212,114
2010091213,96
2010091214,83
2010091215,74
2010091216,74
2010091217,74
2010091218,82
2010091219,94
2010091220,94
2010091221,115
2010091222,121
2010091223,120
201009130 ,120
201009131 ,101
201009132 ,85
201009133 ,72
201009134 ,72
201009135 ,65
201009136 ,70
201009137 ,80
201009138 ,80
201009139 ,101
2010091310,109
2010091311,111
2010091312,111
2010091313,99
2010091314,86
2010091315,75
2010091316,75
2010091317,66
2010091318,71
2010091319,80
2010091320,80
2010091321,99
2010091322,107
2010091323,110
201009140 ,110
201009141 ,99
201009142 ,86
201009143 ,72
201009144 ,72
201009145 ,60
201009146 ,61
201009147 ,68
201009148 ,68
201009149 ,87
2010091410,97
2010091411,103
2010091412,103
2010091413,99
2010091414,90
2010091415,79
2010091416,79
2010091417,65
2010091418,65
2010091419,70
2010091420,70
2010091421,87
2010091422,96
2010091423,102
201009150 ,102
201009151 ,101
201009152 ,93
201009153 ,82
201009154 ,82
201009155 ,68
201009156 ,66
201009157 ,71
201009158 ,71
201009159 ,87
2010091510,97
2010091511,106
2010091512,106
2010091513,110
2010091514,105
2010091515,97
2010091516,97
